belts,personal_injury,property_damage,commercial_license,commercial_vehicle,vehicle_type,year,make,model,color,charge,contributed_to_accident,gender,driver_state,dL_state,arrest_type,violation_type
No,No,No,No,No,02 - Automobile,2014.0,CHEV,EXPRESS,WHITE,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,TOYT,AVALON,SILVER,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,TOYOTA,PRIUS,BLACK,61,No,F,MD,MD,O - Foot Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,VOLVO,S 80,WHITE,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,TOYT,PRIUS,BLACK,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,HONDA,ACCORD,GRAY,76,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2012.0,VOLK,4S,GRAY,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,02 - Automobile,2004.0,NISSAN,MAXIMA,BLACK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,TOYT,4S,BLUE,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2007.0,TOYT,2S,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1999.0,NISS,ALTIMA,SILVER,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2015.0,FORD,TK,BLACK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,NISSAN,TRUCK,RED,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,MAZDA,4S,BLACK,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2011.0,MAZDA,3,SILVER,53,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2010.0,JAGU,4S,WHITE,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2011.0,TOYOTA,CAMRY,GRAY,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2000.0,NISSAN,QUEST,BLACK,56,No,F,MD,XX,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,HONDA,2D,BLACK,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1999.0,INFI,4S,WHITE,64,No,M,DC,DC,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2008.0,DODGE,CARVAN,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,VOLK,4S,BLUE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,DODGE,RAM,BLUE DARK,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1999.0,TOYOTA,COROLLA,GOLD,64,No,M,VA,VA,C - Marked VASCAR,SERO
No,No,No,No,No,02 - Automobile,2004.0,HOND,4S,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,HONDA,ODYSSEY,SILVER,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,HYUN,TIBURON,BLACK,53,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2010.0,CHEVY,IMPALA,GRAY,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,FORD,F350,RED,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1992.0,HONDA,4S,BLUE LIGHT,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,LEXU,TK,BLACK,65,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2009.0,HONDA,ACCORD,SILVER,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,DODG,4S,BEIGE,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,HONDA,ACCORD,SILVER,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2013.0,NISS,ROGUE,BLACK,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2012.0,CHEV,CAMARO,BLACK,84,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2016.0,HONDA,TK,BLACK,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2012.0,CHEV,2S,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,TOYT,4S,WHITE,64,No,F,DC,DC,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,BMW,325I,RED,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1995.0,HONDA,2D,BLUE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,TOYT,2S,BLUE,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,CHEV,TRUCK,WHITE,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,HOND,2S,GRAY,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2007.0,FORD,FOCUS,RED,61,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2012.0,TOYOTA,HIGHLANDER,SILVER,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,28 - Other,2012.0,FORD,TK,SILVER,61,No,M,NY,NY,B - Unmarked Patrol,SERO
No,No,No,No,No,02 - Automobile,1994.0,ACURA,2S,BLACK,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,TOYT,COROLLA,BLACK,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,HONDA,ACCORD,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2010.0,VOLK,4S,BLACK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2018.0,TOYOTA,TACOMA,RED,56,No,M,MD,MD,B - Unmarked Patrol,SERO
No,No,No,No,No,02 - Automobile,1995.0,BMW,4S,BLACK,61,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,MAZDA,4S,SILVER,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1996.0,TOYT,4S,BEIGE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2007.0,TOY,COROLLA,SILVER,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,28 - Other,2001.0,CHRY,VN,BLUE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,1990.0,FORD,TK,MULTICOLOR,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2015.0,DODGE,RAM,WHITE,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2003.0,TOYT,TUNDRA,GREEN,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,MERCEDES,4S,BLACK,61,No,M,GA,GA,Q - Marked Laser,SERO
No,No,No,No,No,02 - Automobile,2002.0,MITSU,GALANT,SILVER,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,03 - Station Wagon,2010.0,SUBARU,WRX,BLUE,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,HONDA,ACCORD,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2007.0,TOYT,HY,RED,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,HYUNDAI,SONATA 4DR,SILVER,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2009.0,JAGU,4S,TAN,61,No,M,MD,MD,B - Unmarked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,TOYOTA,COROLLA,BLUE,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,TOYT,VN,BLUE LIGHT,54,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,02 - Automobile,1999.0,FORD,VAN,RED,64,No,M,MD,MD,Q - Marked Laser,SERO
No,No,No,No,No,02 - Automobile,2000.0,BUICK,4DOOR,BLUE DARK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1999.0,CHRYSLER,TOWNCOUNTRY,BEIGE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,25 - Utility Trailer,2006.0,PERQ,TRAILER,BLACK,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2015.0,TOYOTA,RAV4,RED,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,TOYT,4S,SILVER,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,CHEV,EXPRESS,WHITE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,01 - Motorcycle,2003.0,CHEVY,IMPALA,WHITE,88,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1993.0,HONDA,ACCORD,TAN,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2008.0,FORD,F150,WHITE,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2010.0,TOYOTA,COROLLA,GRAY,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,ACURA,TL,GOLD,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2006.0,NISS,TITAN,BLACK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,ISUZU,RODEO,MAROON,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,TOYT,4S,SILVER,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,TOYT,4S,WHITE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2015.0,MERZ,CLA250,SILVER,61,No,M,MD,MD,B - Unmarked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,MAZD,PROTEGE,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,02 - Automobile,1997.0,NISSAN,QUEST,RED,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1998.0,STRN,4S,BEIGE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1998.0,CHEVROLET,TK,WHITE,68,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,HYUN,SONITA,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,06 - Heavy Duty Truck,1999.0,KENWORTH,ED,RED,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2000.0,TOYOTA,ECHO,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
Yes,No,No,No,No,02 - Automobile,2003.0,TOYT,4S,BLACK,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,CHRY,4S,SILVER,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,CHEVY,MONTE CARLO,BLACK,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1996.0,HOND,CIVIC,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
Yes,No,No,No,No,02 - Automobile,2007.0,DODGE,CALIBER,WHITE,56,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1996.0,FORD,ESCORT,BLUE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2009.0,MERCEDES BENZ,C300,GRAY,61,No,F,MD,MA,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2013.0,SCION,TC,BLACK,76,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2009.0,TOYOTA,COROLLA,RED,64,No,F,MD,MD,A - Marked Patrol,SERO
Yes,No,No,No,No,02 - Automobile,2002.0,FORD,CONTOUR,GREEN,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,HOND,CRV,WHITE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,TOYOTA,SIENNA,BLUE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,SUBARU,OUTBACK,SILVER,56,No,F,MD,MD,A - Marked Patrol,SERO
No,Yes,No,No,No,02 - Automobile,2012.0,HOND,TK,BLACK,51,Yes,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2007.0,HYUNDAI,SONATA,MAROON,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2007.0,FORD,ESCAPE,SILVER,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1994.0,ACURA,INTEGRA,BLACK,53,No,M,MD,XX,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1995.0,HOND,2S,BLACK,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,06 - Heavy Duty Truck,1985.0,WESTERN STAR,DUMP,BLUE,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1994.0,ISU,RODEO,BEIGE,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1999.0,HYUN,4DR,SILVER,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,FORD,F150,GREEN DK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,HOND,2S,GRAY,56,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,JEEP,SUV,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,25 - Utility Trailer,2011.0,CARR,TRAILER,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,Yes,05 - Light Duty Truck,1998.0,CHEV,3500,BLACK,51,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,CHEV,CAVALIEIR,YELLOW,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,CHEV,S10,WHITE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1995.0,NISSAN,ALTIMA,BLACK,61,No,M,MD,MD,A - Marked Patrol,SERO
Yes,No,No,No,No,02 - Automobile,2000.0,TOYT,4S,TAN,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2011.0,HYUN,ACCENT,GRAY,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2002.0,CHEVY,TRK,GOLD,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2007.0,TOYOTA,4S,SILVER,61,No,F,MD,MD,O - Foot Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,JEEP,CHEREKEE,BLUE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2010.0,TOYOTA,COROLLA,SILVER,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2000.0,TOYOTA,AVALON,SILVER,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,TOYOTA,PRIUS,BLUE LIGHT,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1999.0,TOYOTA,CAMRY,GOLD,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,RANGE ROVER,SPORT HSE,BLACK,56,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2011.0,DODGE,RAM PU,WHITE,59,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,NISS,MAXIMA,WHITE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,HONDA,ODYSSEY,GREEN LGT,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2010.0,BMW,335,BLACK,53,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1997.0,ACURA,22CL,WHITE,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,HONDA,ACORD,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,FORD,TK,GOLD,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,NISSAN,MILANO,GOLD,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2007.0,HONDA,ACCORD,SILVER,61,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2011.0,HONDA,CROSSTOUR,BLACK,64,No,F,MD,MD,B - Unmarked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,MAZDA,TRIBUTE,GRAY,65,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,NISS,MURANO,TAN,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,06 - Heavy Duty Truck,2008.0,GMC,BOX TK,WHITE,88,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2013.0,HYUN,ELA NTRA,WHITE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,NISSAN,ALTIMA,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,CHEV,Z71,RED,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2008.0,FORD,F150 PU,SILVER,51,No,M,MD,MD,Q - Marked Laser,SERO
No,No,No,No,No,02 - Automobile,2006.0,HYUNDAI,SONATA,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1999.0,ACUR,TL,WHITE,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2005.0,HOND,4S,BLACK,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,MAZDA,MAZAL3,BLUE,65,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,05 - Light Duty Truck,2006.0,FORD,DS,RED,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1999.0,FORD,4S,WHITE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,HONDA,ACCORD,GRAY,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,MAZDA,CN,GREEN DK,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2011.0,TOYOTA,COROLLA,GRAY,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,HOND,2S,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,FORD,ESCORT,BLUE,56,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2000.0,ACURA,4DR,BLACK,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,AUDI,A6,BLACK,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,HOND,SW,GREEN,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,HOND,VN,SILVER,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,HONDA,CIVIC,BLUE,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,PONT,CN,TAN,55,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,25 - Utility Trailer,1995.0,BART,TL,BLACK,88,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,02 - Automobile,2003.0,HONDA,2DR,BLUE,55,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,MAZD,VN,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,CHEVY,IMPALA,BLACK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,NISS,SENTRA,GREEN LGT,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2006.0,FORD,MUSTANG,RED,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,GMC,TK YUKON,GREEN,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2009.0,TOYT,YARIS,GREEN,56,No,M,MI,MI,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,DODG,4S,SILVER,65,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2000.0,TOYOTA,CAMRY,WHITE,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2007.0,TOYT,PRIUS,BLUE LIGHT,55,No,F,MD,MD,A - Marked Patrol,SERO
Yes,No,No,No,No,02 - Automobile,1998.0,FORD,EXPEDITION,MAROON,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,Yes,No,02 - Automobile,2004.0,MAZD,6,BLUE DARK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2002.0,ACURA,MDX,SILVER,64,No,M,MD,MD,B - Unmarked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,PONT,4S,GRAY,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1997.0,MERZ,E420,BLACK,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,08 - Recreational Vehicle,1999.0,JEEP,TK,BLUE LIGHT,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2000.0,HONDA,ACCORD,GREEN,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,MERZ,4S,BLACK,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,CHRY,TK,BLUE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,Yes,05 - Light Duty Truck,2000.0,GMC,TK,WHITE,50,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2009.0,CHRY,VN,BLUE,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,NISSAN,350Z,SILVER,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2001.0,TOYOTA,COROLLA,SILVER,50,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1994.0,TOYT,2S,GRAY,61,No,M,MD,MD,B - Unmarked Patrol,SERO
No,No,No,Yes,No,06 - Heavy Duty Truck,1986.0,GMC,DUMP TK,BLUE,78,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,NISS,ALTIMA,SILVER,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,NISS,ARMADA,WHITE,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2013.0,HYUN,ACCENT,SILVER,56,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,VOLV,4S,BLACK,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,CHEV,VN,RED,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,01 - Motorcycle,2009.0,HOND,MC,WHITE,53,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,1998.0,IZUZU,AMIGO,GREEN,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,HOND,CIVIC,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2018.0,DODG,4S,BLACK,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,CHRYSLER,TOWNCOUNTRY,SILVER,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,ACURA,4D,BLACK,61,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2008.0,HOND,4S,SILVER,61,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,NISSAN,SENTRA,BLUE LIGHT,56,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2002.0,TOYOTA,SIENNA,BEIGE,65,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,05 - Light Duty Truck,2002.0,CHEVROLET,VN,WHITE,72,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,TOYT,CAMRY,WHITE,64,No,M,MD,MD,A - Marked Patrol,SERO
Yes,No,No,No,No,02 - Automobile,2003.0,VOLKSWAGON,PASSAT,GREEN,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2012.0,TOYTOTA,HIGHLANDER,GRAY,64,No,F,MD,MD,Q - Marked Laser,SERO
No,No,No,No,No,02 - Automobile,2004.0,TOYT,4S,SILVER,64,No,M,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2003.0,MERZ,TK,BLACK,61,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2004.0,TOYT,COROLLA,BLACK,64,No,F,MD,MD,A - Marked Patrol,SERO
No,No,No,No,No,02 - Automobile,2009.0,HONDA,CRV,RED,64,No,F,MD,MD,A - Marked Patrol,SERO
