,0
606,FAILURE OF VEH DRIVER TO CARRY CURRENT REG CARD
607,PERMITTING UNAUTHORIZED PERSON TO DRIVE RENTED MOTOR VEHICLE IN VIOLATION OF RENTAL AGREEMENT
608,ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEH BY FLEEING ON FOOT
609,WILLFUL MOTOR VEH TAMPERING WO OWNERS CONSENT
610,EXCEEDING MAXIMUM SPEED 78 MPH IN A POSTED 50 MPH ZONE
611,STOPPING STANDING PARKING VEH WHERE PROHIBITED BY OFFICIAL SIGN
612,EXCEEDING MAXIMUM SPEED 67 MPH IN A POSTED 40 MPH ZONE
613,DRIVING VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
614,DRIVING MOTOR VEH WHILE LIC SUSPENDED IN OTHER STATE FOR FAILURE TO APPEAR
615,PERSON FAILURE TO RETURN TO ADMCANCELLEDSUSPENDEDREVOKEDTITLE CERT REG CARD
616,FAIL AND REFUSE TO SURRENDER TO ADM ON LAWFUL DEMAND SUSPENDED REVOKED CANCELLED LIC
617,FAILURE OF DRIVER APPROACHING NONFUNCT TRAFFIC CONTRL SIGNAL AT INTERSECTION TO STOP AT STOP LINE
618,USING A SEAT BELT TO RESTRAIN MORE THAN ONE INDIVIDUAL
619,FAIL VEH DRIVER IN ACCTO RPT VEH DAMAGE TO NEAREST POLICE
620,EXCEEDING POSTED MAXIMUM SPEED LIMIT 60 MPH IN A POSTED 30 MPH ZONE
621,FAIL VEH DRIVER IN ACCTO RPTPROP DAMAGETO NEAREST POLICE
622,EXCEEDING MAXIMUM SPEED 42 MPH IN A POSTED 25 MPH ZONE
623,MOTOR VEH MFR AFTER JUNE 1 1971 WO ADEQUATE TAIL LAMPS
624,EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 30 MPH ZONE
625,DRIVER USE OF MOTOR VEH HORN ON HWY WHEN NOT REASONABLY NECESSARY FOR SAFETY
626,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 8155 ZONE
627,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVER
628,FAIL VEH DRIVER IN ACCTO RPT ATTENDED VEH DAMAGE
629,EXCEEDING POSTED MAXIMUM SPEED LIMIT 75 MPH IN A POSTED 55 MPH ZONE
630,DISPLAY CANCELLED LIC
631,MATERIALLY ALTERING VEH EQUIPMENT AFTER REPAIR ORDER CERT ISSUED
632,EXCEEDING POSTED MAXIMUM SPEED LIMIT 46 MPH IN A POSTED 30 MPH ZONE
633,EXCEEDING MAXIMUM SPEED 38 MPH IN A POSTED 30 MPH ZONE
634,EXCEEDING POSTED MAXIMUM SPEED LIMIT 75 MPH IN A POSTED 40 MPH ZONE
635,MOTOR VEH EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM NOISE ABATEMENT DEVICE
636,FAILURE TO PROPERLY POSITION REGISTRATION PLATE TO VEHICLE
637,VEHICLE LAMP PROJECTING GLARING DAZZLING LIGHT
638,DRIVING VEHICLE WHILE UNDERTHE INFLUENCE OF ALCOHOL PER SE
639,DRIVING A VEHICLE WHILE A REMOVABLE WINDSHIELD PLACARD IS HANGING FROM THE INSIDE REARVIEW MIRROR
640,EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 45 MPH ZONE
641,PASSING IN NO PASSING ZONE
642,EXCEEDING POSTED MAXIMUM SPEED LIMIT 67 MPH IN A POSTED 30 MPH ZONE
643,DRIVER FAILING TO STOP AT RED SIGNAL BEFORE LEFT TURN
644,DRIVE VEH REQ CLASS A LIC ON HWYWO CLASS A LIC
645,CURRENT TAGS
646,DRIVER ENTERING CROSSWALK AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING
647,EXCEEDING MAXIMUM SPEED 48 MPH IN A POSTED 40 MPH ZONE
648,STANDING VEH ON SIDEWALK
649,DRIVING COMMERCIAL MOTOR VEH WHILE LICPRIVILEGE DISQUALIFIED IN THISANY OTHER STATE
650,FAILURE OF DRIVER TO STAY UPON APPROACH BY POLICE VEH USING SIGNALS
651,EXCEEDING MAXIMUM SPEED 73 MPH IN A POSTED 55 MPH ZONE
652,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 74
653,DRIVING VEHICLE DIRECTLY IN FRONT OF OVERTAKEN VEHICLE
654,KNOWINGLY UNINSURED VEHICLE
655,DRIVING WHILE SUSP UNDER 26204206
656,UNLAWFUL POSSESSION OF EXPIRED VEH REG PLATES
657,DRIVING VEH WHILE SO FAR IMPAIRED BY DRUGS ALCOHOL CANNOT DRIVE SAFELY
658,STOPLIGHT INOPERATIVE
659,USING DEVICE ON MOTOR VEH EXHAUST CAUSING EXCESSIVE NOISE
660,EXCEEDING POSTED MAXIMUM SPEED LIMIT 60 MPH IN A POSTED 35 MPH ZONE
661,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO IN OR ON UNATTENDED DAMAGED VEH
662,FAIL APPLY WIN 48 HOURS FOR REPLACEMENT OF AFFIXED CURRENT REGPLATE AFTER LOSS
663,USE BICYCLE ON HWY WO FUNC FRT LIGHT AND REAR REFLECT IN UNFAVORABLE VISIBILITY
664,DRIVER FAILURE TO STOP BEFORE ENTERING HWY FROM PRIVATE DRIVEWAY
665,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 OR 27103
666,DISPLAYING EXPIRED REGISTRATION PLATEs ISSUED BY ANY STATE
667,FAILURE OF VEH DRIVER TO USE CARE TO AVOID COLLISION W BIKE OPER BY PERSON
668,EXCEEDING POSTED MAXIMUM SPEED LIMIT 76 MPH IN A POSTED 55 MPH ZONE
669,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 17106 26204 26206 27103
670,OPERATING MOTOR VEHICLE WITH INADEQUATE TIRES ON OTHER THAN STEERING AXLE
671,EXCEEDING POSTED MAXIMUM SPEED LIMIT 52 MPH IN A POSTED 40 MPH ZONE
672,DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN PAVEMENT MARK
673,EXCEEDING MAXIMUM SPEED 47 MPH IN A POSTED 25 MPH ZONE
674,HEADLIGHT INOPERATIVE
675,FAILURE OF DRIVER DRIVING BELOW SPEED LIMIT NORMAL SPEED OF TRAFFIC TO KEEP RIGHT
676,EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 30 MPH ZONE
677,POSSESSING CANCELLED LIC
678,FAILURE OF TRANSFEREE OF VEH TO PROMPTLY APPLY FOR NEW TITLE CERTIFICATE
679,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO ON UNATTENDED DAMAGED VEHicle
680,DRIVER FAILURE TO USE SIGNAL LAMP BEFORE TURN
681,MATERIALLY ALTERING CHANGING VEH EQUIPMENT AFTER INSPECTION REPAIR ORDER CERT ISSUED
682,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 49+
683,DRIVE ACROSS PRIVATE PROPERTY fOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE
684,EXCEEDING MAXIMUM SPEED 81 MPH IN A POSTED 45 MPH ZONE
685,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 5540
686,DRIVE ACROSS PRIVATE PROPERTY LEAVE THE ROADWAYFOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE
687,OPERPERMIT THE OPERATION OF SOUND AMPLIFICATIONSYSTEM FROM VEH THAT CAN BE HEARD FROM 50 OR MORE
688,ALLOWING VEH TO BE DRIVEN ON HWY WITH SUSPENDED REGISTRATION
689,DRIVING WHILE LIC SUSP UNDER FAIL TO ATTEND DIP
690,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 35
691,PERSON DRIVING MOTOR VEH ON HWY SUSPENDED LIC PRIVILEGE
692,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 90
693,EXCEEDING POSTED MAXIMUM SPEED LIMIT 58 MPH IN A POSTED 40 MPH ZONE
694,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED
695,EXCEEDING MAXIMUM SPEED 77 MPH IN A POSTED 40 MPH ZONE
696,EXCEEDING MAXIMUM SPEED 63 MPH IN A POSTED 40 MPH ZONE
697,EXCEEDING MAXIMUM SPEED 100 MPH IN A POSTED 40 MPH ZONE
698,DRIVING VEH BELOW MINIMUM SPEED LIMIT ON POSTED HWY
699,KNOWINGLY PERMITTING VEH UNDER PERSONS CONTROL TO BE DRIVEN ON HWY BY UNAUTHORIZED PERSON
700,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEHOF DAMAGE
701,USING A SEAT BELT TO SEAT MORE THAN ONE INDIVIDUAL
702,DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING CROSSING HWY FROM PRIVATE DRIVEWAY
703,FAIL VEH DRIVER IN ACCTO RPTATTENDED VEHTO NEAREST POLICE
704,FAIL OF DRIVER IN ATTEND VEHICLE ACCIDENT TO FURNISH REQ ID LIC
705,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 45
706,EXCEEDING POSTED MAXIMUM SPEED LIMIT 51 MPH IN A POSTED 35 MPH ZONE
707,EXCEEDING POSTED MAXIMUM SPEED LIMIT 53 MPH IN A POSTED 40 MPH ZONE
708,DRIVING ON HWY WITH LAMP IMPROPERLY DISPLAYING WHITE LIGHT FROM REAR
709,EXCEEDING POSTED MAXIMUM SPEED LIMIT 52 MPH IN A POSTED 35 MPH ZONE
710,TAILLIGHT ID LIGHT CLEARANCE LIGHT MARKER LIGHT INOPERATIVE
711,DRIVER FAILURE TO STOP AND YIELD RIGHTOFWAY FOR OFFICIAL VEH USING AUDIBLE AND VISUAL SIGNAL
712,EXCEEDING POSTED MAXIMUM SPEED LIMIT 63 MPH IN A POSTED 45 MPH ZONE
713,USE BICYCLE ON HWY WO FUNCT FT LIGHT REAR REFLEC LIGHT DURING UNFAV VISIB
714,KNOWINGLY USING FALSIFIED VEH DOCUMENT REG PLATE
715,DRIVING VEH ON HWY WITH CANCELLED REGISTRATION
716,EXCEEDING MAXIMUM SPEED 73 MPH IN A POSTED 45 MPH ZONE
717,EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 35 MPH ZONE
718,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER TR 27103
719,DRIVE VEH REQ CLASS C LIC ON HWY WO CLASS C LIC
720,FAILURE OF DRIVER TO YIELD RIGHTOFWAY TO EMERGENCY VEH USING SIGNALS
721,EXCEEDING POSTED MAXIMUM SPEED LIMIT 66 MPH IN A POSTED 45 MPH ZONE
722,PROHIBITED DOUBLE PARKING
723,OPERATING A MOPED MOTOR SCOOTER ON HWY WO REQ LICENSE OR PERMIT
724,EXCEEDING MAXIMUM SPEED 43 MPH IN A POSTED 35 MPH ZONE
725,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 171064 26206 27103
726,EXCEEDING MAXIMUM SPEED 69 MPH IN A POSTED 50 MPH ZONE
727,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP REG PLATE
728,DRIVE ACROSS PRIVATE PROPERTY LEAVE THE ROADWAY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE
729,EXCEEDING POSTED MAXIMUM SPEED LIMIT 43 MPH IN A POSTED 25 MPH ZONE
730,DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS WHILE OPERATING WINDSHIELD WIPERS
731,EXCEEDING POSTED MAXIMUM SPEED LIMIT 74 MPH IN A POSTED 50 MPH ZONE
732,STOPPING VEH ON HWY WITH LESS THAN 200 FT VISIBILITY
733,EXCEEDING MAXIMUM SPEED 81 MPH IN A POSTED 60 MPH ZONE
734,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENT INVOLVING ATTENDED VEHDAMAGEPROPERTY DAMAGE
735,EXCEEDING POSTED MAXIMUM SPEED LIMIT 100 MPH IN A POSTED 55 MPH ZONE
736,DISPLAYING REG PLATE ISSUED FOR OTHER VEH
737,UNAUTHORIZED USE OF CLASS 1A DEALER REG PLATE
738,MOTOR VEH NOT EQUIPPED WITH EXHAUST MUFFLER SYSTEM
739,EXCEEDING MAXIMUM SPEED 87 MPH IN A POSTED 55 MPH ZONE
740,EXCEEDING POSTED MAXIMUM SPEED LIMIT 69 MPH IN A POSTED 50 MPH ZONE
741,DRIVER OF A CLASS H VEH CARRYING PASSENGERS AND INMOTION USING HANDHELD PHONE
742,DRIVER FAIL TO MAKE REQUIRED STOP AT SIGNAL SIGN PAVEMENT MARK
743,MOTOR VEH TRAILER SEMITRAILER POLE TRAILER WO REQUIRED STOP LAMPS EQUIPMENT
744,EXCEEDING MAXIMUM SPEED 120 MPH IN A POSTED 40 MPH ZONE
745,EXCEEDING MAXIMUM SPEED 66 MPH IN A POSTED 40 MPH ZONE
746,EXCEEDING MAXIMUM SPEED 78 MPH IN A POSTED 40 MPH ZONE
747,DRIVER WRITINGSENDINGREADINGATEXTELECTRONICMSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
748,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE
749,DRIVER MAKING IMPROPER TURN AT INTERSECTION
750,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH TOW TRUCK
751,MODIFYING EXHAUST SYSTEM NOISE ABATEMENT DEVICE ON MOTOR VEH CAUSING EXCESSIVE NOISE EMISSION
752,OWNER KNOWINGLY DRIVING UNINSURED VEHICLE
753,EXCEEDING MAXIMUM SPEED 63 MPH IN A POSTED 35 MPH ZONE
754,FAILURE OF DRIVER TO STOP UPON APPROACH BY EMERGENCY VEH USING SIGNALS
755,EXCEEDING MAXIMUM SPEED 76 MPH IN A POSTED 40 MPH ZONE
756,FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY EMERGENCY POLICE VEH
757,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 55
758,EXCEEDING MAXIMUM SPEED 70 MPH IN A POSTED 35 MPH ZONE
759,DRIVING VEH W VIDEO DISP EQUIP THAT IS ON AND VISIBLE TO THE DRIVER ON HWY
760,FAIL TO DISPLAY LICENSE ON DEMAND
761,DRIVING COMMERCIAL MOTOR VEH WHILE LICPRIVLEGE SUSPENDED IN THIS STATE
762,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEH DAMAGE
763,FAIL VEH DRIVER IN ACCTO RPTATTENDED VEH DAMAGE TO NEAREST POLICE
764,DIRECTING AND PERMITTING HWY VEH OPERATION CONTRARY TO LAW
765,USING DEVICE ON MOTOR VEH EXHAUST EXTENSION CAUSING EXCESSIVE NOISE
766,PARKING VEH WITHIN 15 FEET FIRE HYDRANT
767,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 58 MPH IN 35 MPH ZONE
768,STOPPING STANDING VEH IN INTERSECTION
769,EXCEEDING MAXIMUM SPEED 95 MPH IN A POSTED 50 MPH ZONE
770,DRIVING VEH WITH WINDSHIELD VIEW OBSTRUCTED BY SIGN MATERIAL
771,EXCEEDING MAXIMUM SPEED 78 MPH IN A POSTED 45 MPH ZONE
772,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 45 MPH
773,display SUSPENDED LIC
774,EXCEEDING SPEED LIMIT IN SCHOOL ZONE WITH FLASHING LIGHTSNOTICE OF DOUBLE FINES 41 MPH IN 25 ZONE
775,EXCEEDING POSTED MAXIMUM SPEED LIMIT 38 MPH IN A POSTED 25 MPH ZONE
776,EXCEEDING POSTED MAXIMUM SPEED LIMIT 35 MPH IN A POSTED 30 MPH ZONE
777,EXCEEDING POSTED MAXIMUM SPEED LIMIT 80 MPH IN A POSTED 40 MPH ZONE
778,DISPLAY FICTITIOUS LIC
779,EXCEEDING POSTED MAXIMUM SPEED LIMIT 58 MPH IN A POSTED 35 MPH ZONE
780,EXCEEDING MAXIMUM SPEED 72 MPH IN A POSTED 50 MPH ZONE
781,CARRYING LOOSE MATERIAL LOADED TO WITHIN SIX INCHES OF TOP OF ENCLOSURE WO COVERING LOAD
782,DRIVER FAIL TO MAKE REQUIRED STOP AT STOP SIGN
783,STANDING VEH IN INTERSECTION
784,FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEH PROPERTY
785,DRIVER CHANGING LANES WHERE PROHIBITED BY TRAFFIC CONTROL DEVICE
786,OPERATING A MV WITH INADEQUATE TIRES ON OTHER THAN STEERING AXLE
787,EXCEEDING POSTED MAXIMUM SPEED LIMIT 66 MPH IN A POSTED 35 MPH ZONE
788,RECKLESS DRIVING
789,FAILURE OF DR TO SLOW TO REASONABLE PRUDENT SPEED WHILE PASSING STOPPED EMERG VEH
790,FAILURE TO EQUIP HWY VEH WITH REQUIRED LAMPS AND REFLECTORS
791,FAILING TO PERFORM REQUIRED ACT PERTAINING TO DRIVERS LIC
792,DRIVING VEH ON HWY WITH LAMP IMPROPERLY DISPLAYING WHITE LIGHT FROM REAR
793,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEH
794,DRIVING ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
795,EXCEEDING MAXIMUM SPEED 95 MPH IN A POSTED 55 MPH ZONE
796,DRIVER RECORD OF DUTY STATUS NOT CURRENT
797,EXCEEDING MAXIMUM SPEED 75 MPH IN A POSTED 50 MPH ZONE
798,FAILURE TO REDUCE SPEED IN DANGEROUS HIGHWAY CONDITIONS
799,DISPLAYING PERMITTING TO BE DISPLAYED REG PLATE ISSUED FOR OTHER VEHICLE
800,EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 35 MPH ZONE
801,FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEHDAMAGE ACCIDENT
802,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 8055
803,FAILURE TO HAVE REQ REAR SEAT BELTS ON REGISTERED MOTOR VEH
804,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 9045
805,ATTEMPT BY DRIV TO ELUDE POLICE IN OFFCAL POLICE VEH BY MEANS OTHER THAN FAIL STOP FLEE BY FOOT
806,KNOWINGLY PERMITTING CHILD UNDER AGE 15 TO DRIVE MOTOR VEH ON HWY
807,STOPPING VEH WHERE PROHIBITED BY OFFICIAL SIGN
808,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 4535
809,EXCEEDING POSTED MAXIMUM SPEED LIMIT 42 MPH IN A POSTED 25 MPH ZONE
810,EXCEEDING MAXIMUM SPEED 65 MPH IN A POSTED 35 MPH ZONE
811,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 55MPH
812,EXCEEDING MAXIMUM SPEED 66 MPH IN A POSTED 55 MPH ZONE
813,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO INON UNATTENDED DAMAGED VEH PROPERTY
814,EXCEEDING POSTED MAXIMUM SPEED LIMIT 74 MPH IN A POSTED 35 MPH ZONE
815,EXCEEDING POSTED MAXIMUM SPEED LIMIT 75 MPH IN A POSTED 30 MPH ZONE
816,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 8555
817,DRIVER FAILURE TO STOP BEFORE ENTERING CROSSING HWY FROM PRIVATE ROAD DRIVEWAY
818,THROWING DUMPING DISCHARGE DEPOSIT ANY REFUSE ON HWY
819,FAILURE OF LICENSEE TO SURRENDER CANCELLED LIC TOADM
820,FAILURE OF DRIVER DRIVING BELOW NORMAL SPEED OF TRAFFIC TO KEEP RIGHT
821,FAILURE OF DRIVER AT CROSSOVER TO MAKE LEFT TURN FROM EXTREME LEFT LANE
822,EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 60 MPH ZONE
823,ATTEMPTING TO DRIVE VEH WHILE IMPAIRED BY ALCOHOL
824,WILLFULLY DISOBEYING LAWFUL ORDER OF A POLICE OFFICER
825,USING DEVICE ON MOTOR VEH TAIL PIPE EXTENSION CAUSING EXCESSIVE NOISE
826,DRIVING VEH WITH PASSENGER OVERLOAD INTERFERING WITH DRIVER CONTROL
827,EXCEEDING MAXIMUM SPEED 71 MPH IN A POSTED 50 MPH ZONE
828,FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY EMERGENCY VEH
829,DRIVER FAILURE TO YIELD RIGHTOFWAY AT INTERSECTION YIELD SIGN
830,EXCEEDING POSTED MAXIMUM SPEED LIMIT 61 MPH IN A POSTED 45 MPH ZONE
831,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 2710
832,DRIVER OPERATING CMV WHEN DRIVER NOT QUALIFIED TO DO SO
833,FAIL OF DRIVER IN BODILY INJURY ACCIDENT TO FURNISH REQ ID LIC
834,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 46 IN 30
835,EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 45 MPH ZONE
836,EXCEEDING MAXIMUM SPEED 110 MPH IN A POSTED 55 MPH ZONE
837,DISPLAYING SUSPENDED LIC
838,EXCEEDING MAXIMUM SPEED 52 MPH IN A POSTED 25 MPH ZONE
839,FAILURE OF MV OPER DRIVING ON HWY TO CARRY IN MV EVID OF REQD SECURITY FOR MV
840,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO ON UNATTENDED DAMAGED VEHICLE
841,FAILURE TO REDUCE SPEED ON CURVE
842,DRIVING VEHW TVTYPE RECEIVING EQUIP VIDEO DISPEQUIP THAT IS ON AND VISIBLE TO THE DRIVER ON HWY
843,PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEHICLE WO SEAT BELT RESTRAINT SECONDARY ACTION
844,EXCEEDING POSTED MAXIMUM SPEED LIMIT 51 MPH IN A POSTED 25 MPH ZONE
845,EXCEEDING POSTED MAXIMUM SPEED LIMIT 47 MPH IN A POSTED 25 MPH ZONE
846,FAILURE TO PROVIDE TRUTHFULL IDENTIFICATION
847,DRIVING VEH W TVTYPE RECEIVING EQUIP VIDEO DISPEQUIP THAT IS ON AND VISIBLE TO THE DRIVERON HWY
848,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 25
849,EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 45 MPH ZONE
850,DRIVING WHILE SUSP UNDER 16203 16206A2 FAIL TO ATTEND DIP 17106 26204206 27103
851,MATERIALLY CHANGING VEH EQUIPMENT AFTER REPAIR ORDER CERT ISSUED
852,OWNER KNOWINGLY PERMITTING VEH TO BE DRIVEN ON HWY WO REG PLATES
853,DRIVER STARTING VEH FROM STOPPED POSITION WHEN UNSAFE
854,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEHICLE OF DAMAGE
855,THROWING DUMPING DISCHARGE DEPOSIT ANY REFUSEON HWY PUBLIC BRIDGE PUBLIC WATERS
856,TRANSPORTING POLES WITH IMPROPERLY ENCLOSED VEH
857,OPERATE MOTORCYCLE WO EYE PROTECTION
858,FAILURE OF DRIVER AT CROSSOVER TO YIELD RIGHTOF WAY TO VEH ON HWY
859,EXCEEDING MAXIMUM SPEED 58 MPH IN A POSTED 35 MPH ZONE
860,DRIVING MOTOR VEHICLE WHILE REGISTRATION SUSPENDEDUNDER 26305B1
861,UNSAFE LEFT TURN IN NO PASSING ZONE
862,FAILURE TO ENSURE THAT SAFETY CHAINS ARE PROPERLY ATTACHED TO TOWED VEH FRAME OF TOWING VEH
863,EXCEEDING POSTED MAXIMUM SPEED LIMIT 77 MPH IN A POSTED 55 MPH ZONE
864,DRIVER TURNING VEH WITHOUT GIVING ADEQUATE SIGNAL
865,EXCEEDING MAXIMUM SPEED 97 MPH IN A POSTED 45 MPH ZONE
866,SPEED GREATER THAN REASONABLE
867,EXCEEDING SPEED LIMIT IN SCHOOL ZONE WITH FLASHING LIGHTSNOTICE OF DOUBLE FINES 59 MPH IN 40 ZONE
868,DRIVING WITHOUT REQUIRED LICENSE AND AUTHORIZATION
869,FAILURE DIM LIGHTED HEAD LAMPS ON PARKED VEH
870,FAILURE OF DR APPR NONFUNCT TRAF CONTRL SIGNALAT INTERSECTION TO STOP BEFORE ENTERING INTERSECT
871,DRIVER FAILING TO SECURE LOAD TO PREVENT LOSS
872,EXCEEDING POSTED MAXIMUM SPEED LIMIT 65 MPH IN A POSTED 45 MPH ZONE
873,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO IN UNATTENDED DAMAGED PROPERTY
874,DRIVING MOTOR VEH WHILE LIC SUSPENDED IN OTHER STATE
875,EXCEEDING MAXIMUM SPEED 46 MPH IN A POSTED 25 MPH ZONE
876,IMPROPER STOPPING AT HWY EXCAVATION OBSTRUCTION
877,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO ON UNATTENDED DAMAGED PROPERTY
878,DRIVING COMMERCIALOTOR VEH WHILE LICPRIVLEGE SUSPENDED BT ANOTHER STATE
879,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENT INVOLVING ATTENDED VEHDAMAGE
880,EXCEEDING MAXIMUM SPEED 98 MPH IN A POSTED 55 MPH ZONE
881,EXCEEDING POSTED MAXIMUM SPEED LIMIT 53 MPH IN A POSTED 45 MPH ZONE
882,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 69
883,DRIVING VEH IN RACE SPEED CONTEST ON HWY PRIVATE PROPERTY USED BY PUBLIC
884,DRIVER FAILING TO STOP AT RED SIGNAL BEFORE LEFT TURN MAKING IMPROPER LEFT TURN
885,EXCEEDING MAXIMUM SPEED 89 MPH IN A POSTED 55 MPH ZONE
886,EXCEEDING MAXIMUM SPEED 72 MPH IN A POSTED 45 MPH ZONE
887,UNLAWFUL USE OF HISTORIC PASSENGER VEHFOR EMPLOYMENT
888,PROHIBITED DOUBLE STANDING
889,DRIVING ATTEMPTING TO DRIVE VEH NOT EQUIPPED WITH AN IGNITION INTERLOCK AS REQUIRED BY PROGRAM
890,STOPPING VEH ON PRIVATE PROPERTY WO PERMISSION
891,EXCEEDING POSTED MAXIMUM SPEED LIMIT 55 MPH IN A POSTED 30 MPH ZONE
892,DISPLAY TAGS ISSUED TO ANOTHER VEHICLE
893,FAIL TO YIELD INTERSECTION RIGHTOFWAY AFTER GREEN TRAFFIC SIGNAL
894,FAILURE OF TRANSFEREE TO APPLY FOR AND OBTAIN NEW REG OF VEH BEFORE DRIVING ON HWY
895,EXCEEDING POSTED MAXIMUM SPEED LIMIT 57 MPH IN A POSTED 25 MPH ZONE
896,HOLDER OF PROVISIONAL LIC DRIVINGVEH USING A HANDHELD PHONE
897,DRIVING MOTOR VEH WITH OBSTRUCTED WINDSHIELD SIDEWINGS
898,EXCEEDING POSTED MAXIMUM SPEED LIMIT 58 MPH IN A POSTED 30 MPH ZONE
899,EXCEEDING MAXIMUM SPEED 91 MPH IN A POSTED 55 MPH ZONE
900,KNOWINGLY USING FALSIFIED VEH DOCUMENT
901,EXCEEDING POSTED MAXIMUM SPEED LIMIT 62 MPH IN A POSTED 45 MPH ZONE
